county,year,varname,value_b2
Aitkin,2012,Cost(CCC),302.29
Aitkin,2013,Cost(CCC),155.78
Aitkin,2014,Cost(CCC),167.1
Aitkin,2015,Cost(CCC),187.42
Aitkin,2016,Cost(CCC),195.36
Aitkin,2017,Cost(CCC),398.47
Aitkin,2018,Cost(CCC),208.52
Aitkin,2012,Cost(HR),
Aitkin,2013,Cost(HR),162.54
Aitkin,2014,Cost(HR),173.4
Aitkin,2015,Cost(HR),148.37
Aitkin,2016,Cost(HR),153.89
Aitkin,2017,Cost(HR),158.34
Aitkin,2018,Cost(HR),159.82
Aitkin,2012,Cost(Pub),137.26
Aitkin,2013,Cost(Pub),35.14
Aitkin,2014,Cost(Pub),17.64
Aitkin,2015,Cost(Pub),15.5
Aitkin,2016,Cost(Pub),48.52
Aitkin,2017,Cost(Pub),49.13
Aitkin,2018,Cost(Pub),15.5
Aitkin,2012,Cost(any),116.05
Aitkin,2013,Cost(any),118.65
Aitkin,2014,Cost(any),115.87
Aitkin,2015,Cost(any),105.23
Aitkin,2016,Cost(any),106.3
Aitkin,2017,Cost(any),101.04
Aitkin,2018,Cost(any),104.72
Aitkin,2012,QualPremium,
Aitkin,2013,QualPremium,1.27
Aitkin,2014,QualPremium,1.37
Aitkin,2015,QualPremium,1.17
Aitkin,2016,QualPremium,1.17
Aitkin,2017,QualPremium,1.16
Aitkin,2018,QualPremium,1.13
Aitkin,2012,Supply(CCC),.11
Aitkin,2013,Supply(CCC),.11
Aitkin,2014,Supply(CCC),.29
Aitkin,2015,Supply(CCC),0
Aitkin,2016,Supply(CCC),0
Aitkin,2017,Supply(CCC),0
Aitkin,2018,Supply(CCC),.01
Aitkin,2012,Supply(HR),
Aitkin,2013,Supply(HR),.02
Aitkin,2014,Supply(HR),.2
Aitkin,2015,Supply(HR),.02
Aitkin,2016,Supply(HR),.07
Aitkin,2017,Supply(HR),.09
Aitkin,2018,Supply(HR),.07
Aitkin,2012,Supply(Pub),.05
Aitkin,2013,Supply(Pub),.07
Aitkin,2014,Supply(Pub),.14
