year,cty_gisjoin,county,co_adj_supply_any,co_adj_supply_ccc,co_adj_supply_fcc,co_adj_supply_public,co_adj_supply_lr,co_adj_supply_hr,co_drive_time_any,co_drive_time_ccc,co_drive_time_fcc,co_drive_time_public,co_drive_time_lr,co_drive_time_hr,co_price_any,co_price_ccc,co_price_fcc,co_price_public,co_price_lr,co_price_hr,co_totcost_any,co_totcost_ccc,co_totcost_fcc,co_totcost_public,co_totcost_lr,co_quality_premium
2015,G2700890,Marshall County,.60390925,.049934529,.43994164,.11403307,.48987618,0,8.811286,29.164503,10.070498,21.136074,9.7143593,62.118538,89.64238,126.99048,104.2353,0,106.13538,120.18095,104.32786,175.59798,121.01946,35.226791,122.32598,1.8730788
2015,G2700690,Kittson County,.49225226,0,.41916832,.073083945,.41916832,0,9.4593525,70.478127,9.6566038,14.229589,9.561635,108.80808,82.220924,127.50944,102.62789,0,102.67126,119.39622,97.986504,244.97298,118.72223,23.715981,118.60732,2.5715694
2015,G2701190,Polk County,.79085308,.16424896,.48675165,.13985248,.58018649,.070814118,5.8360214,17.731722,5.7655115,6.9354119,5.8157692,14.300391,97.918396,134.94815,109.18854,0,118.68118,111.98503,107.6451,164.50102,118.79772,11.55902,128.37413,1.0733697
2015,G2701550,Traverse County,.80948305,0,.55659795,.25288513,.55659795,0,6.0673499,66.789352,9.527689,6.7044253,9.527689,66.789352,77.045349,106,99.779366,0,99.779366,106,87.1576,217.31558,115.65884,11.174042,115.65884,1.8989724
2015,G2700110,Traverse County,.80948305,0,.55659795,.25288513,.55659795,0,6.0673499,66.789352,9.527689,6.7044253,9.527689,66.789352,77.045349,106,99.779366,0,99.779366,106,87.1576,217.31558,115.65884,11.174042,115.65884,1.8989724
2015,G2701070,Norman County,.86156034,.082146473,.41159412,.36781973,.49374059,5.2976359e-15,6.6225533,24.595652,7.8382826,10.219488,8.0541496,40.186424,84.785233,157.02083,104.15306,0,110.43215,109.66666,95.822815,198.01358,117.21687,17.03248,123.85574,1.4386272
2015,G2700270,Clay County,.59448671,.1712126,.38628194,.0369922,.52793896,.029555585,4.5229239,8.7963667,4.4757433,8.0333929,4.4663105,10.225108,126.05042,173.36966,119.64342,0,133.15431,157.51266,133.58862,188.03027,127.103,13.388988,140.59816,1.2594668
2015,G2701670,Wilkin County,.7780776,.010509048,.62841356,.13915497,.63892263,0,6.8802972,37.543755,9.1716356,7.7155328,9.3846073,42.996639,85.909325,130.5,103.79095,0,106.06564,113.98276,97.376488,193.07292,119.07701,12.859221,121.70666,1.577551
2015,G2701130,Pennington County,.75422454,.12705782,.5839985,.043168195,.71105635,0,5.8119059,8.9444208,5.8621902,8.1374216,5.8084388,36.889561,102.84911,126.62658,106.29917,0,108.84735,114,112.53562,141.53395,116.06949,13.562369,118.52808,1.4935743
2015,G2700810,Lincoln County,.80850422,0,.62489337,.18361084,.62489337,0,5.3583274,43.728043,5.5661359,8.5767374,5.5745397,65.776474,67.576942,113.19355,92.087852,0,92.131561,95,76.507484,186.07362,101.36475,14.294562,101.42246,2.0540092
2015,G2701330,Rock County,.77517074,0,.73808706,.037083719,.73808706,0,4.0009909,39.234131,4.0122719,10.802592,4.0122719,50.482571,94.705696,100.75,98.156601,0,98.156601,86,101.37402,166.14021,104.84372,18.00432,104.84372,1.6372983
2015,G2701170,Pipestone County,.73091733,.069725968,.52958542,.13160598,.59931135,0,3.7661927,11.237093,3.7847404,9.6072826,3.7196357,78.108337,82.694969,125,99.822983,0,102.28697,87.145454,88.971954,143.72849,106.13088,16.012138,108.48637,2.0059783
2015,G2700730,Lac qui Parle County,.5219357,.018099727,.35985935,.14397663,.37794966,9.3957151e-06,11.127028,21.666956,11.084476,10.782609,11.323664,36.297886,77.566986,131.47025,101.74047,0,107.74663,83.67939,96.112038,167.58185,120.2146,17.971014,126.6194,1.1542108
2015,G2701250,Red Lake County,1.595021,.09904407,.59214514,.90383178,.64368409,.047505137,4.4132981,16.511145,4.4515071,6.5048904,4.3069468,16.529001,73.180145,100,92.394196,0,91.702995,114,80.535645,127.51857,99.813377,10.841484,98.881241,1.4512427
2015,G2701730,Yellow Medicine County,.75997514,.070247941,.60605127,.083675876,.61260241,.063696802,6.0076003,20.566221,6.0214639,12.532687,6.0178428,19.941271,88.060356,112.23885,96.056168,0,96.198158,79.885124,98.073021,146.51588,106.09194,20.887814,106.22789,1.1095266
2015,G2701110,Otter Tail County,.4789497,.034281068,.36579013,.078878514,.39170977,.0083614234,6.3211465,17.105072,6.3485322,8.858654,6.3890042,18.677076,92.092522,135.28116,108.54141,0,110.60432,112.86227,102.62776,163.78961,119.1223,14.764424,121.25266,1.2017874
2015,G2701350,Roseau County,.66821063,0,.57543594,.092774682,.57543594,0,7.0696826,112.4572,7.0564456,10.047754,7.0638266,70.600761,82.251129,131.23256,95.18911,0,95.196892,87.158142,94.033936,318.66122,106.94985,16.746258,106.96993,1.9307359
2015,G2701490,Stevens County,.79444999,.08155939,.59014773,.12274286,.59014773,.08155939,4.7920017,12.947645,4.7688498,5.8443995,4.7688498,12.947645,80.183907,106,93.677254,0,93.677254,106,88.170578,127.57941,101.62534,9.7406654,101.62534,1.2624282
2015,G2700050,Becker County,.67100346,.070445463,.44195884,.15859917,.42417705,.088227257,7.4667764,18.072371,7.487196,10.916927,8.1694441,12.05453,94.667229,168.02744,112.71574,0,114.80714,134.30234,107.11186,198.14806,125.1944,18.19488,128.42288,1.2147795
2015,G2700510,Grant County,.53218502,0,.33773378,.19445123,.31288397,.02484978,5.6352191,34.684959,5.609026,10.947523,5.7072082,19.23526,81.733627,133.14667,106.25299,0,106.67908,106.37526,91.125656,190.95493,115.60137,18.245872,116.19109,1.2144012
2015,G2701510,Swift County,.76841253,.10921621,.56868947,.090506896,.56868947,.10921621,6.5334468,27.657005,6.4149151,21.207186,6.4254084,27.487366,80.553795,86.328186,99.005745,0,99.213509,75.870857,91.442871,132.4232,109.69727,35.34531,109.92252,1.1190341
2015,G2700830,Lyon County,.90870631,.16499309,.6196633,.12404988,.77809,.0065664002,3.6979334,9.6089544,3.7331433,4.538763,3.7395132,28.688946,93.09623,115.79165,105.74361,0,107.38535,91.318993,99.259453,131.80658,111.96552,7.5646048,113.61787,1.2310812
2015,G2701010,Murray County,.7285794,.15133156,.5243181,.052929737,.67564964,0,9.7234764,16.824299,9.6930647,14.926255,9.520586,50.085148,90.737923,123.58823,94.657913,0,100.01839,85.955879,106.94372,151.62874,110.81302,24.877092,115.88602,1.478194
2015,G2701050,Nobles County,.37191817,.047137722,.24736522,.07741522,.28855014,.005952816,4.8088832,10.310623,4.9576888,7.4125762,5.3619585,20.034027,80.16716,109.97962,97.606628,0,101.31119,86,88.181969,127.16399,105.86944,12.354294,110.24778,1.0992254
2015,G2700870,Mahnomen County,.46120474,0,.25462857,.20657618,.13494471,.11968385,7.439703,56.881996,7.7519765,7.5616393,8.0272236,19.558104,46.141529,159.97826,102.23116,0,100.13575,113.17467,58.541035,254.78159,115.15112,12.602732,113.51446,1.2946279
