year,ed_region,co_adj_supply_any,co_adj_supply_ccc,co_adj_supply_fcc,co_adj_supply_public,co_adj_supply_lr,co_adj_supply_hr,co_drive_time_any,co_drive_time_ccc,co_drive_time_fcc,co_drive_time_public,co_drive_time_lr,co_drive_time_hr,co_price_any,co_price_ccc,co_price_fcc,co_price_public,co_price_lr,co_price_hr,co_totcost_any,co_totcost_ccc,co_totcost_fcc,co_totcost_public,co_totcost_lr,co_quality_premium
2015,Northwest,.76337296,.097690679,.51170564,.15397663,.58059579,.028800527,6.5484586,39.468502,6.7438941,9.717412,6.7248511,40.531685,92.136902,131.79689,104.09122,0,108.70667,108.42234,103.051,197.57773,115.33105,16.195686,119.91476,1.5068585
2015,Westcentral,.63081384,.096203744,.44664624,.087963827,.51095784,.031892117,5.681077,15.04247,5.7561946,9.0216856,5.9239202,14.810439,104.1156,154.08369,111.56925,0,117.54921,131.85127,113.58406,179.15446,121.16291,15.036143,127.42241,1.2449576
2015,UpperMNvalley,.6755138,.071799882,.51601738,.087696575,.53404939,.053767871,7.3400269,22.373114,7.3198676,12.906281,7.355957,24.532932,84.409081,99.489479,98.617218,0,99.967255,80.407204,96.642464,136.778,110.817,21.510468,112.22718,1.0969988
2015,Southwest,.66739422,.077594563,.49022099,.099578701,.56531823,.0024973257,4.8458118,18.184734,4.8813872,8.4756021,4.9663172,40.521942,86.212616,108.12175,99.961823,0,101.5609,84.935066,94.288971,138.42964,108.09747,14.126003,109.8381,1.4051547
2015,Headwaters,.52815247,.051918834,.3499327,.12630096,.35899758,.042853959,6.8057961,28.693434,8.0969,11.51636,8.382514,23.535927,83.670776,146.04346,107.34595,0,109.85313,115.14687,95.013771,193.86584,120.84079,19.193935,123.82399,1.2725685
2015,Southwestcentral,.60966033,.12330352,.40605652,.080300257,.48133999,.048020054,4.3886027,11.096132,4.5635147,6.3806281,4.5115075,14.517337,104.56104,163.5602,108.42224,0,115.45511,131.60551,111.87538,182.05374,116.0281,10.63438,122.97428,1.3022032
2015,NorthCentral,.53138965,.092828117,.33342624,.10513529,.37963581,.046618555,6.3943763,17.697208,6.9324794,10.21468,6.8902793,16.009295,96.450378,140.37872,111.23134,0,114.60009,126.46273,107.10767,169.87407,122.78547,17.024467,126.08389,1.2308706
2015,Central,.56138897,.13410029,.38473085,.042557839,.47261578,.046215359,4.1670055,6.9311509,4.1746287,6.9758525,4.1501365,11.625445,132.20937,200.93161,125.95736,0,135.56024,194.91069,139.15437,212.48354,132.91507,11.626421,142.47714,1.5048414
2015,Southcentral,.76201451,.1797971,.46128851,.12092891,.59963208,.041453559,4.0603399,9.6560879,4.1197276,5.7981811,4.0893383,13.059227,103.5683,149.22675,111.92889,0,119.93018,128.43741,110.33553,165.32022,118.7951,9.6636353,126.74575,1.2213199
2015,Arrowhead,.56936848,.14928278,.26951891,.15056677,.36982206,.048979633,5.4135222,17.280231,5.8496928,6.7238269,5.6456385,21.958231,98.849625,137.68138,120.56197,0,123.47165,130.32359,107.87216,166.48177,130.31146,11.206378,132.88104,1.2772001
2015,Metro,.51001132,.30203423,.17795667,.030020433,.34081084,.13918005,4.2325778,4.5803947,4.1866727,5.2692714,4.2319999,5.1058617,207.43156,257.61078,166.291,0,201.30711,270.41895,214.48586,265.24478,173.2688,8.7821188,208.36044,1.353738
