county,year,varname,value_b2
Aitkin,2012,Weekly Price,108.79
Aitkin,2012,TotCapacity,303.34
Aitkin,2012,AvgCapacity,12.64
Aitkin,2012,CCCShare,.04
Aitkin,2012,HRShare,0
Aitkin,2012,PublicShare,.04
Aitkin,2013,Weekly Price,112.07
Aitkin,2013,TotCapacity,377.6
Aitkin,2013,AvgCapacity,12.18
Aitkin,2013,CCCShare,.03
Aitkin,2013,HRShare,.06
Aitkin,2013,PublicShare,.03
Aitkin,2014,Weekly Price,107.36
Aitkin,2014,TotCapacity,501.64
Aitkin,2014,AvgCapacity,14.75
Aitkin,2014,CCCShare,.06
Aitkin,2014,HRShare,.15
Aitkin,2014,PublicShare,.09
Aitkin,2015,Weekly Price,100.16
Aitkin,2015,TotCapacity,352.33
Aitkin,2015,AvgCapacity,11.01
Aitkin,2015,CCCShare,0
Aitkin,2015,HRShare,.16
Aitkin,2015,PublicShare,.13
Aitkin,2016,Weekly Price,102.4
Aitkin,2016,TotCapacity,312
Aitkin,2016,AvgCapacity,12
Aitkin,2016,CCCShare,0
Aitkin,2016,HRShare,.19
Aitkin,2016,PublicShare,.15
Aitkin,2017,Weekly Price,100.36
Aitkin,2017,TotCapacity,253.3
Aitkin,2017,AvgCapacity,11.51
Aitkin,2017,CCCShare,0
Aitkin,2017,HRShare,.36
Aitkin,2017,PublicShare,.18
Aitkin,2018,Weekly Price,104.16
Aitkin,2018,TotCapacity,242.27
Aitkin,2018,AvgCapacity,11.54
Aitkin,2018,CCCShare,0
Aitkin,2018,HRShare,.33
Aitkin,2018,PublicShare,.19
Anoka,2012,Weekly Price,146.49
Anoka,2012,TotCapacity,11579.13
Anoka,2012,AvgCapacity,14.88
Anoka,2012,CCCShare,.08
Anoka,2012,HRShare,0
Anoka,2012,PublicShare,0
Anoka,2013,Weekly Price,150.6
Anoka,2013,TotCapacity,11585.04
Anoka,2013,AvgCapacity,15.36
Anoka,2013,CCCShare,.1
Anoka,2013,HRShare,.04
Anoka,2013,PublicShare,0
Anoka,2014,Weekly Price,151.68
Anoka,2014,TotCapacity,12126.01
Anoka,2014,AvgCapacity,16.89
Anoka,2014,CCCShare,.11
Anoka,2014,HRShare,.09
Anoka,2014,PublicShare,.04
Anoka,2015,Weekly Price,153.4
Anoka,2015,TotCapacity,11318.09
Anoka,2015,AvgCapacity,16.36
Anoka,2015,CCCShare,.11
Anoka,2015,HRShare,.12
Anoka,2015,PublicShare,.04
Anoka,2016,Weekly Price,156.49
Anoka,2016,TotCapacity,10943.4
Anoka,2016,AvgCapacity,17.29
Anoka,2016,CCCShare,.12
Anoka,2016,HRShare,.16
Anoka,2016,PublicShare,.06
Anoka,2017,Weekly Price,153.9
Anoka,2017,TotCapacity,10813.06
Anoka,2017,AvgCapacity,17.87
Anoka,2017,CCCShare,.13
Anoka,2017,HRShare,.18
Anoka,2017,PublicShare,.06
Anoka,2018,Weekly Price,165.4
Anoka,2018,TotCapacity,10301.33
Anoka,2018,AvgCapacity,17.7
Anoka,2018,CCCShare,.12
Anoka,2018,HRShare,.19
Anoka,2018,PublicShare,.07
Becker,2012,Weekly Price,106.08
Becker,2012,TotCapacity,1258.41
Becker,2012,AvgCapacity,10.94
Becker,2012,CCCShare,.01
Becker,2012,HRShare,0
Becker,2012,PublicShare,.05
Becker,2013,Weekly Price,109.33
Becker,2013,TotCapacity,1328.4
Becker,2013,AvgCapacity,10.89
Becker,2013,CCCShare,.02
Becker,2013,HRShare,.17
Becker,2013,PublicShare,.05
Becker,2014,Weekly Price,105.66
Becker,2014,TotCapacity,1401.1
Becker,2014,AvgCapacity,11.39
Becker,2014,CCCShare,.02
Becker,2014,HRShare,.24
Becker,2014,PublicShare,.09
Becker,2015,Weekly Price,107.71
Becker,2015,TotCapacity,1370.23
Becker,2015,AvgCapacity,11.92
Becker,2015,CCCShare,.03
Becker,2015,HRShare,.22
Becker,2015,PublicShare,.09
Becker,2016,Weekly Price,110.46
Becker,2016,TotCapacity,1214.14
Becker,2016,AvgCapacity,11.9
Becker,2016,CCCShare,.04
Becker,2016,HRShare,.3
Becker,2016,PublicShare,.11
Becker,2017,Weekly Price,109.24
Becker,2017,TotCapacity,1185.21
Becker,2017,AvgCapacity,12.09
Becker,2017,CCCShare,.03
Becker,2017,HRShare,.35
Becker,2017,PublicShare,.11
Becker,2018,Weekly Price,111.06
Becker,2018,TotCapacity,1087.88
Becker,2018,AvgCapacity,11.57
Becker,2018,CCCShare,.01
Becker,2018,HRShare,.37
Becker,2018,PublicShare,.13
Beltrami,2012,Weekly Price,104.92
Beltrami,2012,TotCapacity,1726.26
Beltrami,2012,AvgCapacity,13.7
Beltrami,2012,CCCShare,.06
Beltrami,2012,HRShare,0
Beltrami,2012,PublicShare,.05
Beltrami,2013,Weekly Price,107.39
Beltrami,2013,TotCapacity,1735.16
Beltrami,2013,AvgCapacity,13.45
Beltrami,2013,CCCShare,.05
Beltrami,2013,HRShare,.05
Beltrami,2013,PublicShare,.05
Beltrami,2014,Weekly Price,106.81
Beltrami,2014,TotCapacity,2005.71
Beltrami,2014,AvgCapacity,14.03
Beltrami,2014,CCCShare,.06
Beltrami,2014,HRShare,.09
Beltrami,2014,PublicShare,.07
Beltrami,2015,Weekly Price,104.21
Beltrami,2015,TotCapacity,1692.39
Beltrami,2015,AvgCapacity,12.72
Beltrami,2015,CCCShare,.05
Beltrami,2015,HRShare,.09
Beltrami,2015,PublicShare,.08
Beltrami,2016,Weekly Price,111.7
Beltrami,2016,TotCapacity,1583.66
Beltrami,2016,AvgCapacity,13.09
Beltrami,2016,CCCShare,.03
Beltrami,2016,HRShare,.12
Beltrami,2016,PublicShare,.09
Beltrami,2017,Weekly Price,105.54
Beltrami,2017,TotCapacity,1553.02
Beltrami,2017,AvgCapacity,13.05
Beltrami,2017,CCCShare,.03
