year,county,Price,Capacity,ShareCCC,ShareHighRated,ShareFCC,SharePublic
2012,Freeborn County,99.5,12.4,.029,0,.957,.014
2012,Washington County,157,16.3,.086,0,.907,.008
2012,Kandiyohi County,101,10.8,.024,0,.944,.032
2012,Olmsted County,138.6,14.6,.051,0,.9270000000000001,.022
2012,Winona County,107.8,12.1,.049,0,.9300000000000001,.021
2012,Ramsey County,161.9,19.1,.158,0,.831,.011
2012,Hennepin County,180.6,23.2,.2,0,.793,.008
2012,Wadena County,89.7,10.6,.029,0,.857,.114
2012,Dakota County,163,16.4,.094,0,.9,.005
2012,Anoka County,146.5,14.9,.085,0,.911,.004
2012,Sibley County,104,9.800000000000001,0,0,.946,.054
2012,Polk County,100.3,13.4,.058,0,.903,.039
2012,Wabasha County,114.6,10.9,.029,0,.956,.015
2012,Todd County,77.90000000000001,11.9,0,0,.86,.14
2012,Nobles County,82.2,12,.041,0,.898,.061
2012,Pennington County,99.5,11,.031,0,.954,.015
2012,Lyon County,101.3,12.5,.049,0,.9350000000000001,.016
2012,Mower County,106.9,11.7,.043,0,.9350000000000001,.022
2012,Scott County,158,13.1,.047,0,.944,.008
2012,Nicollet County,117.5,16.4,.088,0,.912,0
2012,Renville County,95.5,13.5,.02,0,.94,.04
2012,Dodge County,119,11.5,.012,0,.963,.024
2012,Stearns County,110.3,12,.042,0,.951,.008
2012,Goodhue County,122.9,13.1,.047,0,.9370000000000001,.016
2012,Wright County,133.4,11.6,.03,0,.951,.019
2012,Fillmore County,99.09999999999999,17.9,.05,0,.9,.05
2012,Le Sueur County,117.9,10.3,0,0,.981,.019
2012,Rice County,126,12,.043,0,.945,.012
2012,Mille Lacs County,106.7,16.8,.083,0,.896,.021
2012,Houston County,100.5,10.4,.027,0,.92,.053
2012,Beltrami County,104.9,13.7,.056,0,.897,.048
2012,Sherburne County,127,13.3,.05,0,.943,.008
2012,Meeker County,99.5,13.2,.043,0,.915,.043
2012,Saint Louis County,111.7,16,.1,0,.838,.062
2012,Martin County,93.8,10.9,.015,0,.985,0
2012,Wilkin County,93.5,9.4,0,0,.96,.04
2012,Otter Tail County,101.4,10.8,.035,0,.944,.021
2012,McLeod County,107.6,11.6,.023,0,.946,.031
2012,Clay County,112.6,12.7,.049,0,.9360000000000001,.015
2012,Morrison County,96.09999999999999,10.7,.009,0,.953,.038
2012,Chippewa County,89,12.2,.026,0,.921,.053
2012,Red Lake County,76.5,18.7,.042,0,.833,.125
2012,Murray County,85.40000000000001,11.5,.038,0,.962,0
2012,Carver County,160.6,16.3,.088,0,.907,.005
2012,Crow Wing County,116.4,13.1,.075,0,.904,.021
2012,Stevens County,90,11.9,.031,0,.9379999999999999,.031
2012,Blue Earth County,114.4,15.7,.075,0,.91,.015
2012,Steele County,107.3,13.5,.038,0,.949,.013
2012,Brown County,96.3,12.3,.044,0,.939,.018
2012,Chisago County,131.9,13.3,.065,0,.9350000000000001,0
2012,Benton County,112.6,11,.019,0,.975,.006
2012,Cass County,93,21.9,.038,0,.8110000000000001,.151
2012,Roseau County,85.40000000000001,10.1,0,0,.944,.056
2012,Watonwan County,85.40000000000001,13.3,.094,0,.875,.031
2012,Douglas County,102.5,11.9,.021,0,.952,.027
2012,Cook County,82.09999999999999,10.1,.1,0,.6,.3
2012,Itasca County,96,13.9,.048,0,.819,.133
2012,Cottonwood County,92.2,10.7,.026,0,.923,.051
2012,Clearwater County,77.2,11.5,0,0,.833,.167
2012,Norman County,79.7,14.2,.053,0,.842,.105
2012,Becker County,106.1,10.9,.009,0,.939,.052
2012,Redwood County,93.2,9.699999999999999,0,0,.968,.032
2012,Carlton County,112.8,14.3,.06,0,.925,.015
2012,Hubbard County,102.8,11.6,.039,0,.941,.02
2012,Koochiching County,100.2,10.4,0,0,.957,.043
2012,Pope County,93,12,.063,0,.875,.063
2012,Pipestone County,94.8,10.8,.029,0,.941,.029
2012,Yellow Medicine County,87.40000000000001,10.6,.02,0,.9,.08
2012,Waseca County,100.2,10.4,.027,0,.96,.013
2012,Lac qui Parle County,82.8,10.5,0,0,.905,.095
